[2025-05-11 19:42:55.151992 +06:00] INFO [src/main.rs:69] 
Executing Sqlite3 Prerequisites...
[2025-05-11 19:42:55.200102 +06:00] INFO [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-server-2.5.1\src\builder.rs:272] starting 12 workers
[2025-05-11 19:42:55.200832 +06:00] INFO [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-server-2.5.1\src\server.rs:191] Actix runtime found; starting in Actix runtime
[2025-05-11 19:42:55.200892 +06:00] INFO [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-server-2.5.1\src\server.rs:197] starting service: "actix-web-service-127.0.0.1:8080", workers: 12, listening on: 127.0.0.1:8080
[2025-05-11 19:42:55.201209 +06:00] INFO [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-server-2.5.1\src\server.rs:197] starting service: "actix-web-service-0.0.0.0:8443", workers: 12, listening on: 0.0.0.0:8443
[2025-05-11 19:42:57.346229 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.361368 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.361398 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.361576 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.376799 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.376951 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.392071 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.392087 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.392328 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:42:57.392403 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
